_row_excel,siat_finalidade_descricao,siat_area_terreno,crawler_area_terreno,__area_total_lote_efetiva,__regra_area_lote
73489,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19948.88,142.5,142.5,área da unidade negociada em condomínio
73493,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,89985.0,320.0,320.0,área da unidade negociada em condomínio
73611,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,484.92,484.92,área da unidade negociada em condomínio
73650,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19729.0,0.0,,área da unidade em condomínio ausente
73653,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19729.0,0.0,,área da unidade em condomínio ausente
73756,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,611.9,611.9,área da unidade negociada em condomínio
73814,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,548.04,548.04,área da unidade negociada em condomínio
73938,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,15535.62,130.0,130.0,área da unidade negociada em condomínio
74787,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,13501.82,448.08,448.08,área da unidade negociada em condomínio
74834,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,13501.82,448.08,448.08,área da unidade negociada em condomínio
76133,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,18544.69,188.37,188.37,área da unidade negociada em condomínio
76321,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,232.91,232.91,área da unidade negociada em condomínio
76462,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,13501.82,448.08,448.08,área da unidade negociada em condomínio
76509,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19948.88,204.88,204.88,área da unidade negociada em condomínio
76913,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,569.18,569.18,área da unidade negociada em condomínio
77496,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,518.79,518.79,área da unidade negociada em condomínio
77695,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,13501.82,334.47,334.47,área da unidade negociada em condomínio
77924,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,1542.03,1542.03,área da unidade negociada em condomínio
77926,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,1543.03,1543.03,área da unidade negociada em condomínio
77981,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,597.18,597.18,área da unidade negociada em condomínio
78010,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,1080.46,1080.46,área da unidade negociada em condomínio
78218,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,9891.0,266.31,266.31,área da unidade negociada em condomínio
78228,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,14921.05,220.8,220.8,área da unidade negociada em condomínio
78560,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,1047.7,1047.7,área da unidade negociada em condomínio
78706,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,18381.0,140.21,140.21,área da unidade negociada em condomínio
78951,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,1438.85,1438.85,área da unidade negociada em condomínio
78996,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,508.85,508.85,área da unidade negociada em condomínio
79164,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,25258.11,161.0,161.0,área da unidade negociada em condomínio
79285,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,25258.11,234.18,234.18,área da unidade negociada em condomínio
79522,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,1543.03,1543.03,área da unidade negociada em condomínio
79606,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,281262.0,885.28,885.28,área da unidade negociada em condomínio
79736,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,13501.82,334.47,334.47,área da unidade negociada em condomínio
79776,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,21706.54,559.93,559.93,área da unidade negociada em condomínio
79777,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,13501.82,425.8,425.8,área da unidade negociada em condomínio
80387,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,508.85,508.85,área da unidade negociada em condomínio
80935,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,15535.62,140.5,140.5,área da unidade negociada em condomínio
80939,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,16484.37,162.94,162.94,área da unidade negociada em condomínio
80953,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,16484.37,122.38,122.38,área da unidade negociada em condomínio
81122,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,6958.0,191.49,191.49,área da unidade negociada em condomínio
81753,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,576.71,576.71,área da unidade negociada em condomínio
81768,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,555.87,555.87,área da unidade negociada em condomínio
81841,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,540.8,540.8,área da unidade negociada em condomínio
82029,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,1573.9,1573.9,área da unidade negociada em condomínio
82030,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,1456.21,1456.21,área da unidade negociada em condomínio
82104,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,6958.0,191.49,191.49,área da unidade negociada em condomínio
82448,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,508.85,508.85,área da unidade negociada em condomínio
82488,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,555.87,555.87,área da unidade negociada em condomínio
82611,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,379.92,379.92,área da unidade negociada em condomínio
82636,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,44454.0,299.83,299.83,área da unidade negociada em condomínio
83078,TERRENOS CONDOMINIO HORIZ ABERTO SEM AREA USO COMUM,454.15,144.6,144.6,área da unidade negociada em condomínio
84095,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19948.88,204.88,204.88,área da unidade negociada em condomínio
84472,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19948.88,218.54,218.54,área da unidade negociada em condomínio
85560,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,232.91,232.91,área da unidade negociada em condomínio
85561,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,16484.37,122.38,122.38,área da unidade negociada em condomínio
85563,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,171.0,171.0,área da unidade negociada em condomínio
85565,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,265.51,265.51,área da unidade negociada em condomínio
85725,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,1483.35,1483.35,área da unidade negociada em condomínio
86024,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,508.24,508.24,área da unidade negociada em condomínio
86025,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,508.24,508.24,área da unidade negociada em condomínio
86234,TERRENO EM CONDOMINIO HORIZONTAL ABERTO,5069.64,111.86,111.86,área da unidade negociada em condomínio
86432,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,15535.62,130.0,130.0,área da unidade negociada em condomínio
86435,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,30761.63,154.0,154.0,área da unidade negociada em condomínio
86436,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,30761.63,154.0,154.0,área da unidade negociada em condomínio
86437,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,30761.63,154.0,154.0,área da unidade negociada em condomínio
86556,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,9093.0,181.67,181.67,área da unidade negociada em condomínio
86639,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,9093.0,105.53,105.53,área da unidade negociada em condomínio
86640,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,9093.0,105.53,105.53,área da unidade negociada em condomínio
