finalidade,config,estrato,grupo,n,mdape,mape,p90_ape,median_ratio,cod,prd,mean_abs_log,rmse,score,prb
COBERTURA,f0_w0.25_k16-16_e12.8,periodo_ou_espaco,validacao_1,90,0.2200553619427978,0.3364283667161349,0.6974079946052969,0.8853586431693616,35.24544982588133,1.2486779861410993,0.3134486772896073,732199.6171494618,0.5734862269079064,-0.08915049934679108
COBERTURA,f0_w0.25_k16-16_e12.8,periodo_ou_espaco,validacao_2,90,0.28084389067662313,0.46001488182011274,1.0277544514333652,1.0123004816569359,45.41867704680412,1.2382784009996315,0.3839621387478339,429064.1210232781,0.6104825683908709,-0.21274147216766945
COBERTURA,f0_w0.25_k16-16_e12.8,periodo_ou_espaco,validacao_3,90,0.24067476449241243,0.4162415151519822,1.0641227955088433,0.9887058141021463,42.07944357150388,1.1921286977011265,0.33161697775559795,367323.1326483546,0.5303650767988933,-0.14957263804868728
COBERTURA,f1350_w0.25_k5-15_e5,periodo_ou_espaco,validacao_1,90,0.25456568534818025,0.3730970077573543,0.6687905783952132,0.8860238328833168,40.80275246216308,1.192650049140957,0.33138564816413657,665702.5845677806,0.5819871255988612,-0.00958360779323446
COBERTURA,f1350_w0.25_k5-15_e5,periodo_ou_espaco,validacao_2,90,0.28312569300636725,0.4806486791359927,1.1794073528012723,1.0110533660634373,47.53939755004336,1.2280425488249949,0.3941145527511191,439853.711103303,0.6211701476632223,-0.1750797827603971
COBERTURA,f1350_w0.25_k5-15_e5,periodo_ou_espaco,validacao_3,90,0.23085791007312012,0.4277821459745477,1.1630948697832566,0.9973034850787352,42.893878581079576,1.1637845197966599,0.3379822574134682,453699.2713724436,0.5224056382607839,-0.11516932360988924
COBERTURA,f1350_w0.45_k12-25_e11,periodo_ou_espaco,validacao_1,90,0.23009144969755468,0.35158712601908226,0.6543454078513898,0.9045634272022018,36.84741739478593,1.2181044024756482,0.31746931249239474,642301.7099775485,0.5583872232238758,-0.05387389925231653
COBERTURA,f1350_w0.45_k12-25_e11,periodo_ou_espaco,validacao_2,90,0.3007162252529684,0.4773097280574075,1.3668696269321345,1.0224911166712807,46.645323780337804,1.2468176626391352,0.3897360191228297,447308.0820292231,0.6277675066901585,-0.20897963831567706
COBERTURA,f1350_w0.45_k12-25_e11,periodo_ou_espaco,validacao_3,90,0.23413908978756515,0.4385814228114926,1.1298095328235196,1.032213720637258,42.24507670992023,1.1830017238663935,0.33999333628411826,428067.48626192677,0.5454864187856012,-0.13774187923013562
COBERTURA,f1800_w0.45_k16-16_e12.8,periodo_ou_espaco,validacao_1,90,0.22809452774766764,0.3413672486101593,0.6485419809438322,0.894105700953034,36.313217084442776,1.2193784031906312,0.3099895114457431,666111.4430830636,0.5559088043523973,-0.06435055338283417
COBERTURA,f1800_w0.45_k16-16_e12.8,periodo_ou_espaco,validacao_2,90,0.29815973502708704,0.47630477255145987,1.3605340697563,1.005337448041466,47.37760176738331,1.2452092974898425,0.3894733847182797,444070.758010287,0.6202308294217233,-0.20950575428870996
COBERTURA,f1800_w0.45_k16-16_e12.8,periodo_ou_espaco,validacao_3,90,0.23362331427884014,0.44431126547533817,1.1821294559256301,1.0051443541678386,44.20372692071523,1.1964350123350396,0.3472683727948148,391827.2329644676,0.5500164297315108,-0.14836010923170614
