purpose,config,fold,row_excel,date,group,tile,bairro,area,actual,predicted,k,effective,floor,n_train,discount,error,razao,erro_percentual_absoluto
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,164790,2026-09-03,7113056,-3338|-4932,floresta,12.0,10000.0,28027.422462353086,7,5.847517681922284,150.0,2612,0.2,,2.8027422462353084,1.8027422462353084
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,164188,2026-08-28,7113196,-3338|-4932,floresta,12.0,10000.0,28027.422462353086,7,5.847517681922284,150.0,2612,0.2,,2.8027422462353084,1.8027422462353084
CASA / RESIDÊNCIA,baseline,teste_reservado,166911,2026-09-17,10076387,-3358|-4928,belem novo,300.18,757000.0,2052124.286217492,5,5.0,800.0,16815,0.1487989829969808,,2.710864314686251,1.7108643146862512
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,166782,2026-09-17,3945197,-3340|-4933,centro historic,15.81,12000.0,32119.360401476868,7,5.888875652563057,150.0,2612,0.2,,2.676613366789739,1.6766133667897392
CASA / RESIDÊNCIA,baseline,teste_reservado,163052,2026-08-24,11381825,-3345|-4927,vila sao jose,77.0,100000.0,265374.6149077137,5,5.0,800.0,16815,0.1487989829969808,,2.6537461490771372,1.6537461490771372
APARTAMENTO,baseline,teste_reservado,161192,2026-08-13,9665994,-3340|-4927,chacara pedras,190.26,755125.36,1995426.2530720169,12,11.904693495887669,1200.0,96700,0.2,,2.6425099179188165,1.6425099179188165
SALA COMERCIAL,baseline,teste_reservado,162945,2026-08-24,791741,-3340|-4933,centro historic,26.72,35000.0,92447.25679119532,16,15.133581800805278,900.0,7886,0.2,,2.641350194034152,1.641350194034152
APARTAMENTO,baseline,teste_reservado,167271,2026-09-21,100022376,-3338|-4926,vila ipiranga,79.27,154908.64,408131.0728595464,17,11.060537948984695,1200.0,96700,0.2,,2.6346566134693736,1.6346566134693736
SALA COMERCIAL,baseline,teste_reservado,160825,2026-08-11,8247412,-3343|-4934,menino deus,23.78,45000.0,118124.53078848532,20,12.29752574860559,900.0,7886,0.2,,2.6249895730774515,1.6249895730774515
CASA / RESIDÊNCIA,baseline,teste_reservado,165890,2026-09-08,10922873,-3347|-4935,cristal,50.1,100000.0,260679.917443349,5,5.0,800.0,16815,0.1487989829969808,,2.60679917443349,1.60679917443349
